"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
103100,"NORTHEAST ALABAMA COMMUNITY COLLEGE                                   ",AL,359860159,Public,181,181,423150,181,211575
103300,"OAKWOOD UNIVERSITY                                                    ",AL,358960001,Private-Nonprofit,973,973,4371934,973,2188003
103600,"SAMFORD UNIVERSITY                                                    ",AL,352297000,Private-Nonprofit,725,725,3048879,725,1574978
103800,"SNEAD STATE COMMUNITY COLLEGE                                         ",AL,359570734,Public,509,510,1858578,510,936054
104000,"SOUTHERN UNION STATE COMMUNITY COLLEGE                                ",AL,362760000,Public,717,718,2281258,718,1133688
104100,"SPRING HILL COLLEGE                                                   ",AL,366081791,Private-Nonprofit,572,574,2423951,574,1232972
104400,"STILLMAN COLLEGE                                                      ",AL,354011430,Private-Nonprofit,458,458,1880198,458,942222
104600,"TALLADEGA COLLEGE                                                     ",AL,351602354,Private-Nonprofit,454,454,1914789,454,949912
104700,"TROY UNIVERSITY                                                       ",AL,360820001,Public,5255,5260,21706660,5398,8237643
105000,"TUSKEGEE UNIVERSITY                                                   ",AL,360881645,Private-Nonprofit,1518,1529,6575161,1529,3291515
105100,"UNIVERSITY OF ALABAMA                                                 ",AL,354870120,Public,9408,9408,40426307,9408,20465835
105200,"UNIVERSITY OF ALABAMA AT BIRMINGHAM                                   ",AL,352941150,Public,4268,4338,18462816,4338,9036647
105500,"UNIVERSITY OF ALABAMA IN HUNTSVILLE                                   ",AL,358990001,Public,1911,1951,8131275,1951,4214229
105700,"UNIVERSITY OF SOUTH ALABAMA                                           ",AL,366880002,Public,4989,5065,21091965,5065,10619331
106000,"JAMES H. FAULKNER STATE COMMUNITY COLLEGE                             ",AL,365072698,Public,1088,1089,3739767,1089,1871356
106100,"ALASKA PACIFIC UNIVERSITY                                             ",AK,995084672,Private-Nonprofit,81,81,338083,93,184321
106300,"UNIVERSITY OF ALASKA FAIRBANKS                                        ",AK,997757500,Public,1222,1235,5036872,1236,2547213
106500,"UNIVERSITY OF ALASKA SOUTHEAST                                        ",AK,998018680,Public,272,272,1136549,273,568907
107100,"ARIZONA WESTERN COLLEGE                                               ",AZ,853658847,Public,190,190,582576,190,177366
107200,"COCHISE COLLEGE                                                       ",AZ,856076190,Public,210,212,720726,212,400876
107400,"GRAND CANYON UNIVERSITY                                               ",AZ,850173030,Proprietary,11363,11374,46814768,11501,23591624
107600,"GLENDALE COMMUNITY COLLEGE                                            ",AZ,853023090,Public,2094,2094,7607656,2095,3810614
107700,"MESA COMMUNITY COLLEGE                                                ",AZ,852024866,Public,2840,2840,10417534,2847,5210715
107800,"PHOENIX COLLEGE                                                       ",AZ,850134234,Public,1959,1959,7018003,1961,3516733
107900,"YAVAPAI COLLEGE                                                       ",AZ,863013297,Public,592,592,2108886,594,1098708
108100,"ARIZONA STATE UNIVERSITY                                              ",AZ,852870412,Public,26612,27129,118121570,27129,59845526
108200,"NORTHERN ARIZONA UNIVERSITY                                           ",AZ,860110001,Public,9228,9228,39014491,9326,20162423
108300,"UNIVERSITY OF ARIZONA (THE)                                           ",AZ,857210066,Public,9366,9583,39539935,9583,20378459
108500,"UNIVERSITY OF ARKANSAS AT MONTICELLO                                  ",AR,716560000,Public,1167,1171,4369582,1171,2184861
108600,"UNIVERSITY OF ARKANSAS AT PINE BLUFF                                  ",AR,716012790,Public,1066,1081,4364033,1081,2205243
108700,"ARKANSAS BAPTIST COLLEGE                                              ",AR,722026099,Private-Nonprofit,189,189,738122,189,368872
108800,"LYON COLLEGE                                                          ",AR,725013699,Private-Nonprofit,310,310,1316989,310,666133
108900,"ARKANSAS TECH UNIVERSITY                                              ",AR,728012222,Public,3495,3538,13514408,3538,6765866
109000,"ARKANSAS STATE UNIVERSITY                                             ",AR,724010000,Public,4005,4007,16788348,4007,8646223
109100,"ARKANSAS STATE UNIVERSITY - BEEBE                                     ",AR,720121000,Public,297,297,986214,297,257637
109200,"UNIVERSITY OF CENTRAL ARKANSAS                                        ",AR,720350001,Public,3560,3643,14396780,3643,7343346
109300,"CENTRAL BAPTIST COLLEGE                                               ",AR,720346470,Private-Nonprofit,373,373,1458945,391,748505
109400,"UNIVERSITY OF THE OZARKS                                              ",AR,728302880,Private-Nonprofit,31,32,132437,32,66219
109500,"CROWLEY'S RIDGE COLLEGE                                               ",AR,724509775,Private-Nonprofit,40,40,173898,40,86949
109700,"HARDING UNIVERSITY                                                    ",AR,721490001,Private-Nonprofit,1541,1542,6163937,1545,3348360
109800,"HENDERSON STATE UNIVERSITY                                            ",AR,719990001,Public,1248,1260,5161102,1260,2584713
109900,"HENDRIX COLLEGE                                                       ",AR,720323080,Private-Nonprofit,389,389,1679862,389,842344
110000,"JOHN BROWN UNIVERSITY                                                 ",AR,727612747,Private-Nonprofit,625,625,2703137,625,1390543
110100,"UNIVERSITY OF ARKANSAS AT LITTLE ROCK                                 ",AR,722041099,Public,3282,3328,13415900,3336,6753501
110200,"OUACHITA BAPTIST UNIVERSITY                                           ",AR,719980001,Private-Nonprofit,415,415,1714952,415,881633
110300,"PHILANDER SMITH COLLEGE                                               ",AR,722023718,Private-Nonprofit,365,366,1497062,367,751285
110500,"SHORTER COLLEGE                                                       ",AR,721144885,Private-Nonprofit,137,137,500625,137,250313
110600,"WILLIAMS BAPTIST COLLEGE                                              ",AR,724764661,Private-Nonprofit,218,218,932256,218,475194
110700,"SOUTHERN ARKANSAS UNIVERSITY                                          ",AR,717535000,Public,778,792,3055192,792,1526405
110800,"UNIVERSITY OF ARKANSAS                                                ",AR,727010000,Public,5422,5589,22075895,5589,11630754
110900,"UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                           ",AR,722057102,Public,300,300,1340723,300,696362
